haircut_name,face_shape,gender,hair_ratio,vertical_extent,hair_width,coverage_top,texture_estimate
Buzz Cut,S,Male,0.589993753,0.15625,261,8.092447917,5.567908654
Buzz Cut,S,Male,0.567431308,0.127083333,279,8.791666667,5.468383514
Buzz Cut,S,Male,0.501766276,0.110416667,265,8.490885417,5.065000967
Buzz Cut,S,Male,0.496425497,0.125,280,8.171875,5.58805549
Buzz Cut,S,Male,0.460961511,0.1125,260,7.419270833,6.200907073
Buzz Cut,S,Male,0.45481069,0.1125,258,7.102864583,5.933340321
Buzz Cut,R,Male,0.328830062,0.135416667,257,5.268229167,30.73833743
Buzz Cut,R,Male,0.323816811,0.139583333,251,4.993489583,26.49539092
Buzz Cut,R,Male,0.257868288,0.091666667,252,5.005208333,29.51280878
Buzz Cut,R,Male,0.325920346,0.147916667,257,5.119791667,36.17570499
Buzz Cut,R,Male,0.327460642,0.152083333,259,5.19921875,31.23444976
Buzz Cut,R,Male,0.328115908,0.147916667,259,5.213541667,30.45810238
Buzz Cut,R,Male,0.240126173,0.075,251,5.0,27.13439404
Buzz Cut,R,Male,0.326538146,0.147916667,259,4.6640625,31.17023714
Buzz Cut,R,Male,0.323127264,0.145833333,260,4.552083333,28.48172606
Buzz Cut,R,Male,0.264314086,0.095833333,253,4.645833333,29.64097572
Buzz Cut,R,Male,0.332287008,0.179166667,306,13.82161458,20.72835514
Buzz Cut,R,Male,0.274450111,0.152083333,305,14.09114583,19.30641207
Buzz Cut,R,Male,0.26796912,0.14375,299,14.1875,19.08621069
Buzz Cut,R,Male,0.31553282,0.210416667,300,14.078125,18.83189655
Buzz Cut,R,Male,0.315840365,0.204166667,295,13.96354167,20.41534989
Buzz Cut,R,Male,0.264403887,0.141666667,296,13.84765625,21.16951977
Buzz Cut,R,Male,0.317872061,0.204166667,296,14.0703125,20.72123598
Buzz Cut,R,Male,0.313838673,0.204166667,397,14.06510417,19.59984152
Buzz Cut,R,Male,0.318101385,0.204166667,314,14.13151042,18.82903981
Buzz Cut,R,Male,0.314792632,0.20625,315,13.99869792,18.34058464
Buzz Cut,S,Male,0.363521392,0.177083333,250,11.28385417,11.76656305
Buzz Cut,S,Male,0.352781409,0.154166667,247,11.17708333,11.89172749
Buzz Cut,S,Male,0.356903883,0.15625,248,11.25260417,11.47165624
Buzz Cut,S,Male,0.352484027,0.15625,250,11.40885417,10.82061632
Buzz Cut,S,Male,0.376492775,0.170833333,252,11.51692708,12.7536439
Buzz Cut,S,Male,0.37313703,0.179166667,254,11.59635417,13.52468058
Buzz Cut,S,Male,0.362321351,0.179166667,256,11.68098958,12.15522029
Buzz Cut,S,Male,0.372124786,0.18125,256,11.72265625,10.80110497
Buzz Cut,S,Male,0.3593138,0.16875,256,11.73046875,10.97658102
Buzz Cut,S,Male,0.377722922,0.185416667,256,11.77083333,11.80267966
Buzz Cut,S,Male,0.421653633,0.202083333,261,18.33463542,25.45116279
Buzz Cut,S,Male,0.472905883,0.175,262,17.84635417,20.90953096
Buzz Cut,S,Male,0.493362965,0.177083333,261,19.16927083,23.20313697
